                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.4124,                 1.0384,                0.92088,                0.43329,                0.32165,                0.31748,                0.18587,                 1.3401,                0.99699,                0.90304,               0.003268,               0.003268,               0.003268
                    105,                 1.4084,                 1.0353,                0.92085,                0.43068,                0.32272,                0.31787,                0.18628,                 1.3388,                0.99657,                0.90285,               0.003202,               0.003202,               0.003202
                    106,                 1.4029,                 1.0291,                0.91859,                0.43506,                0.32051,                 0.3183,                 0.1864,                 1.3381,                0.99532,                0.90279,               0.003136,               0.003136,               0.003136
                    107,                 1.4004,                 1.0244,                0.91752,                0.43605,                0.32101,                0.31941,                0.18672,                 1.3366,                0.99524,                0.90221,                0.00307,                0.00307,                0.00307
                    108,                 1.4042,                 1.0253,                0.91936,                0.44154,                 0.3196,                0.31982,                0.18725,                 1.3373,                0.99565,                0.90215,               0.003004,               0.003004,               0.003004
                    109,                 1.3988,                 1.0302,                0.92137,                0.43874,                0.31992,                0.31978,                0.18696,                 1.3376,                0.99486,                0.90219,               0.002938,               0.002938,               0.002938
                    110,                  1.398,                 1.0199,                0.91698,                0.43472,                 0.3227,                0.31983,                0.18737,                 1.3366,                0.99393,                0.90203,               0.002872,               0.002872,               0.002872
                    111,                 1.3982,                 1.0187,                0.91623,                0.43577,                0.32194,                0.32018,                0.18711,                  1.337,                0.99371,                0.90221,               0.002806,               0.002806,               0.002806
                    112,                 1.3895,                 1.0147,                0.91812,                 0.4336,                0.32188,                0.32007,                0.18753,                 1.3361,                0.99304,                0.90209,                0.00274,                0.00274,                0.00274
                    113,                 1.3955,                 1.0186,                0.91711,                0.43085,                0.32168,                0.31981,                0.18784,                 1.3356,                0.99343,                0.90202,               0.002674,               0.002674,               0.002674
                    114,                 1.3941,                 1.0192,                0.91825,                0.43522,                0.32196,                0.32071,                0.18823,                 1.3351,                0.99258,                0.90175,               0.002608,               0.002608,               0.002608
